at,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,,,
20/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,125,100
21/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,500,125
22/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,50
23/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
24/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,125,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,350,125
25/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,125
26/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,125
27/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,125,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,741,491
28/02/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,125,125
01/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,125,100,125,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,475,125
02/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,625,125
03/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,375,125
04/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,575,125
05/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,625,125
06/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,75,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,225,125
07/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,750,125
08/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,650,125
09/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,25,25,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,425,125
10/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,175,100
11/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,225,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,775,225
12/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,125,125,125,100,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,850,125
13/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,19,125,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1019,125
14/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,25,125,125,125,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1000,125
15/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,25,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1025,125
16/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1125,125
17/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,100,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,475,125
18/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,800,125
19/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,500,125
20/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,125
21/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,125,125,125,250,125,225,125,125,125,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1525,250
22/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,0,125,150,125,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,800,150
23/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,100,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,600,125
24/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,125,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,850,125
25/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,125,125,125,125,0,0,0,75,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,750,125
26/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,225,25,0,0,50,75,0,200,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,750,225
27/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,100,125,0,125,125,225,125,25,0,125,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1325,225
28/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,175,350,250,250,225,238,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1996,350
29/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,275,125
30/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,20,42,77,114,175,137,79,60,67,97,120,202,158,200,149,98,277,194,316,100,81,34,15,5,1,0,0,0,0,0,0,0,,2830,316
31/03/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,28,30,61,55,88,134,138,254,555,462,409,473,277,243,331,211,328,431,130,95,69,54,33,13,0,0,0,0,0,0,0,0,,4911,555
01/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,188,375,125,125,125,83,0,125,125,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1438,375
02/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,188,125,125,250,0,188,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1021,250
03/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,125,125,0,0,125,90,54,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1038,250
04/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,125,125,125,158,267,425,375,225,125,225,138,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2517,425
05/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,63,125,0,125,0,63,0,125,125,125,125,125,63,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,1229,125
06/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,225,125,125,250,150,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,2125,250
07/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,125,125,125,375,0,125,0,500,250,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1813,500
08/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,375,375,375,375,375,250,217,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3467,375
09/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,375,500,375,375,188,250,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3563,500
10/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,375,375,325,375,375,250,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3450,375
11/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,125,125,238,125,250,125,250,125,125,250,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2438,250
12/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,375,375,258,367,375,375,200,175,88,125,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,3363,375
13/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,375,375,500,500,375,375,375,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4125,500
14/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,100,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,975,125
15/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,125,375,275,363,400,125,163,375,250,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2963,400
16/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,225,375,125,500,500,142,425,475,375,342,175,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4158,500
17/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,156,375,500,500,500,500,500,500,375,375,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5031,500
18/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,208,375,375,500,500,500,250,375,375,375,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,4708,500
19/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,125,125,250,250,375,313,375,375,375,375,250,250,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4021,375
20/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,125,200,125,350,500,250,125,500,500,325,375,125,125,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,3925,500
21/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,188,375,375,625,500,500,500,500,375,375,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,5188,625
22/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,371,500,500,500,500,500,500,375,375,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5121,500
23/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,375,500,500,500,500,500,400,375,250,125,125,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,5050,500
24/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,375,375,425,375,417,425,375,375,250,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,4517,425
25/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,500,500,500,375,205,0,0,125,125,200,100,125,50,100,0,0,0,0,0,0,0,0,0,0,0,0,,3155,500
26/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,250,258,500,500,470,125,413,288,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3091,500
27/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,292,350,467,375,375,250,200,250,300,175,213,125,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,3908,467
28/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,125,125,250,292,125,375,208,625,250,450,375,275,125,150,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,4083,625
29/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,25
30/04/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,125,225,200,100,0,250,250,175,125,175,0,50,125,125,75,0,0,0,0,0,0,0,0,0,0,0,0,0,,2150,250
01/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,375,200,525,175,125,250,250,250,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2900,525
02/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,125,125,0,125,375,125,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,1750,375
03/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,125,250,125,250,625,625,125,625,500,0,0,250,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,4125,625
04/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,125,350,500,500,525,325,625,125,225,625,500,400,125,125,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,5325,625
05/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,250,500,250,250,250,214,170,127,83,39,75,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,3082,500
06/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,250,125,125,125,0,0,150,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1025,250
07/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,0,125,0,0,250,0,125,250,125,125,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1500,250
08/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,0,0,0,0,0,0,25,0,100,125,25,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,775,125
09/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,0,125,250,25,350,0,200,125,125,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1700,350
10/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,500,500,500,625,500,500,625,250,125,375,250,125,125,25,0,0,0,0,0,0,0,0,0,0,0,0,,5900,625
11/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,250,150,525,250,275,125,0,625,0,225,150,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2800,625
12/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,250,125,0,250,0,0,125,0,125,125,250,250,250,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,2500,250
13/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,125,500,125,150,550,250,525,0,225,325,25,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,3650,550
14/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,250,125,125,250,121,115,110,104,98,92,87,81,75,69,64,58,52,46,40,35,29,23,17,12,6,,2708,250
15/05/2010,125,0,0,0,0,0,0,0,0,0,0,5,21,33,90,202,309,385,469,582,673,738,199,826,807,287,401,341,343,951,817,703,645,561,279,190,343,318,285,65,28,19,0,0,0,0,0,0,,12040,951
16/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,125,375,350,125,250,225,125,125,125,125,100,0,0,0,0,0,0,0,0,0,0,0,,2325,375
17/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,125,250,0,125,250,250,250,125,625,250,125,250,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,3625,625
18/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,250,375,625,625,500,500,375,625,625,500,500,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,6625,625
19/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,0,125,100,125,125,150,250,125,125,250,225,125,125,125,25,0,0,0,0,0,0,0,0,0,0,0,,2625,250
20/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,250,125,125,125,125,250,250,250,125,0,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,2750,250
21/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,375,500,125,350,625,625,625,325,125,375,100,325,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,5475,625
22/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,125,125,250,375,500,625,625,625,750,750,625,625,525,500,275,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,7650,750
23/05/2010,0,0,0,0,0,0,0,0,0,0,0,11,30,76,156,234,313,394,478,559,620,680,737,785,819,840,860,863,851,825,794,757,707,653,593,510,428,349,266,58,26,17,6,0,0,0,0,0,,15291,863
24/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,600,625,625,725,750,750,625,625,500,500,375,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,7825,750
25/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,450,450,375,425,250,250,675,425,500,200,375,225,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,,5600,675
26/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,150,250,275,450,400,575,625,725,550,325,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5200,725
27/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,500,625,750,750,125,625,375,125,500,500,271,125,125,25,0,0,0,0,0,0,0,0,0,0,0,0,,6296,750
28/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,125,200,175,500,550,625,425,750,750,750,425,625,625,500,375,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,7825,750
29/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,125,225,275,475,550,0,0,225,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,2350,550
30/05/2010,0,0,0,0,0,0,0,0,0,0,6,15,29,85,182,117,346,423,571,240,254,792,427,233,990,861,870,810,734,740,569,459,652,627,443,261,299,156,127,100,57,27,8,0,0,0,0,0,,12510,990
31/05/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,250,250,250,250,250,250,125,125,125,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,3125,250
01/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,125,0,25,0,125,125,0,125,100,150,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,,1525,250
02/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,375,125,750,750,250,625,750,675,250,625,500,225,250,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,6525,750
03/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,475,500,575,575,625,750,750,625,625,625,500,375,150,125,25,0,0,0,0,0,0,0,0,0,0,0,0,,8050,750
04/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,375,500,625,625,625,750,750,625,325,350,400,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,7200,750
05/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,375,375,250,250,500,375,250,175,75,125,250,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,,4250,500
06/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,125,125,250,850,125,125,125,375,375,300,250,250,125,100,0,0,0,0,0,0,0,0,0,0,0,0,,4125,850
07/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,250,125,225,250,125,250,250,125,375,125,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3100,375
08/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,350,0,100,275,250,125,0,375,125,350,475,200,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,2900,475
09/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,125,750,750,250,125,0,125,250,250,250,250,125,0,0,0,125,0,0,0,0,0,0,0,0,0,0,,3875,750
10/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,125,125,15,0,0,0,0,0,125,125,8,0,0,0,0,0,0,0,0,0,0,0,0,,1023,250
11/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,250,250,250,125,250,750,875,750,250,750,500,625,375,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,7000,875
12/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,250,350,375,775,475,750,750,650,625,525,400,150,125,125,125,0,0,0,0,0,0,0,0,0,0,0,,7075,775
13/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,250,375,375,375,250,375,250,875,750,625,125,375,625,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,,6250,875
14/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,125,250,750,750,750,375,250,625,625,250,375,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,6250,750
15/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,250,125,300,325,250,325,300,700,375,650,675,325,625,325,225,125,125,50,0,0,0,0,0,0,0,0,0,0,0,,6275,700
16/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,350,425,625,625,625,750,750,750,750,750,625,525,500,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,9050,750
17/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,375,500,625,625,625,750,750,750,750,750,625,525,400,150,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,8950,750
18/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,250,250,500,300,350,675,375,250,125,0,0,0,125,125,125,125,25,0,0,0,0,0,0,0,0,0,0,0,0,,3725,675
19/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,250,125,250,125,250,125,875,125,750,125,625,625,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,,5625,875
20/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,325,425,625,625,625,750,750,750,750,750,625,525,500,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,8900,750
21/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,500,625,625,625,750,750,750,750,750,125,125,125,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,,7250,750
22/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,325,500,625,625,700,750,750,750,750,750,625,625,425,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,9075,750
23/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,225,250,375,500,625,625,750,750,750,750,750,625,525,400,250,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,8650,750
24/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,458,625,438,250,500,250,250,375,625,375,500,313,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,,5833,625
25/06/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,250,350,450,375,400,350,775,750,750,750,650,625,500,400,250,125,125,125,0,0,0,0,0,0,0,0,0,0,0,,8250,775
